Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0033260,nuclear DNA replication,13,41,69,3.1940932221348427e-21,2.555274577707874e-20,1763;2237;29980;4171;4172;4175;5111;5422;57379;5888;641;64785;675,True,"""The DNA-dependent DNA replication that occurs in the nucleus of eukaryotic organisms as part of the cell cycle."" [GOC:mtg_cell_cycle]",19241,0.18840579710144928,0.3170731707317073,query_1,['GO:0044786']
GO:BP,GO:0044839,cell cycle G2/M phase transition,18,156,69,3.9437388342933454e-21,3.107188172473545e-20,11073;1111;11200;22976;29980;4361;472;4998;545;580;5884;5890;5932;6240;63967;641;672;90381,True,"""The cell cycle process by which a cell in G2 phase commits to M phase."" [GOC:jl, GOC:mtg_cell_cycle]",19241,0.2608695652173913,0.11538461538461539,query_1,['GO:0044770']
GO:BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,16,105,69,1.0715605566512667e-20,8.316589394905354e-20,11073;1111;29980;4361;472;4998;545;580;5884;5890;5932;6240;63967;641;672;90381,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle, PMID:17329565]",19241,0.2318840579710145,0.1523809523809524,query_1,"['GO:0000086', 'GO:1901990', 'GO:1902749']"
GO:BP,GO:0044786,cell cycle DNA replication,13,45,69,1.200056968082601e-20,9.176906226514006e-20,1763;2237;29980;4171;4172;4175;5111;5422;57379;5888;641;64785;675,True,"""The DNA-dependent DNA replication that takes place as part of the cell cycle."" [GOC:mtg_cell_cycle]",19241,0.18840579710144928,0.28888888888888886,query_1,"['GO:0006261', 'GO:0022402']"
GO:BP,GO:0000086,G2/M transition of mitotic cell cycle,17,139,69,2.252797337211429e-20,1.697760312101367e-19,11073;1111;11200;29980;4361;472;4998;545;580;5884;5890;5932;6240;63967;641;672;90381,True,"""The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."" [GOC:mtg_cell_cycle]",19241,0.2463768115942029,0.1223021582733813,query_1,"['GO:0044772', 'GO:0044839']"
GO:BP,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,14,69,69,6.600342939968728e-20,4.834053984202449e-19,11073;1111;29980;4361;472;4998;545;580;5884;5932;63967;641;672;90381,True,"""Any signaling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]",19241,0.2028985507246377,0.2028985507246377,query_1,"['GO:0000086', 'GO:0010389', 'GO:1901991', 'GO:1902750']"
GO:BP,GO:0044773,mitotic DNA damage checkpoint signaling,14,70,69,8.017373190452861e-20,5.790325081993732e-19,11073;1111;11200;2177;29980;4361;472;5884;6118;63967;641;672;90381;9656,True,"""A signal transduction process involved in mitotic DNA damage checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie]",19241,0.2028985507246377,0.2,query_1,"['GO:0000077', 'GO:0044774']"
GO:BP,GO:1902750,negative regulation of cell cycle G2/M phase transition,14,71,69,9.710839167147578e-20,6.823832928265866e-19,11073;1111;29980;4361;472;4998;545;580;5884;5932;63967;641;672;90381,True,"""Any signaling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]",19241,0.2028985507246377,0.19718309859154928,query_1,"['GO:0044839', 'GO:1901988', 'GO:1902749']"
GO:BP,GO:0051726,regulation of cell cycle,31,1069,69,1.3438611105862786e-19,9.289813115907273e-19,11073;1111;11200;1763;2177;2237;22976;29980;3014;4361;472;4998;545;57379;580;5884;5888;5890;5892;5932;6118;6240;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",19241,0.4492753623188406,0.028999064546304958,query_1,"['GO:0007049', 'GO:0050794']"
GO:BP,GO:0051276,chromosome organization,25,569,69,1.366051909336209e-19,9.289813115907273e-19,11073;11144;11200;1763;2177;2237;2547;3010;3981;4361;4678;472;5111;545;5888;5892;6117;6118;641;675;7156;7520;79075;83990;9401,True,"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",19241,0.36231884057971014,0.043936731107205626,query_1,['GO:0006996']
