Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-556833,Metabolism of lipids,10,746,65,0.000684237745289706,0.001871419474296632,10001;1387;219541;2232;2274;29079;80306;8841;9282;9443,True,Metabolism of lipids,19241,0.15384615384615385,0.013404825737265416,query_1,['REAC:R-HSA-1430728']
REAC,REAC:R-HSA-9634815,Transcriptional Regulation by NPAS4,3,33,65,0.000684237745289706,0.001871419474296632,1020;1387;4193,True,Transcriptional Regulation by NPAS4,19241,0.046153846153846156,0.09090909090909091,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-5250924,B-WICH complex positively regulates rRNA expression,4,88,65,0.0008103170381230159,0.0021312448125975214,3012;653604;6908;8356,True,B-WICH complex positively regulates rRNA expression,19241,0.06153846153846154,0.045454545454545456,query_1,['REAC:R-HSA-5250913']
REAC,REAC:R-HSA-8941855,RUNX3 regulates CDKN1A transcription,2,7,65,0.0008413639731476766,0.0021948625386461126,1026;7157,True,RUNX3 regulates CDKN1A transcription,19241,0.03076923076923077,0.2857142857142857,query_1,['REAC:R-HSA-8878159']
REAC,REAC:R-HSA-69481,G2/M Checkpoints,5,166,65,0.000877193935215819,0.0022754751338125824,1017;23198;5713;7157;983,True,G2/M Checkpoints,19241,0.07692307692307693,0.030120481927710843,query_1,['REAC:R-HSA-69620']
REAC,REAC:R-HSA-390466,Chaperonin-mediated protein folding,4,91,65,0.0009062773883437203,0.002338780357016052,7157;8841;898;9134,True,Chaperonin-mediated protein folding,19241,0.06153846153846154,0.04395604395604396,query_1,['REAC:R-HSA-391251']
REAC,REAC:R-HSA-983231,Factors involved in megakaryocyte development and platelet production,5,168,65,0.0009168918686822611,0.00235982893816346,1017;1020;653604;7157;8356,True,Factors involved in megakaryocyte development and platelet production,19241,0.07692307692307693,0.02976190476190476,query_1,['REAC:R-HSA-109582']
REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,5,172,65,0.0010054295293658087,0.0025534718206115777,1029;1387;4193;5970;7157,True,SUMO E3 ligases SUMOylate target proteins,19241,0.07692307692307693,0.029069767441860465,query_1,['REAC:R-HSA-2990846']
REAC,REAC:R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,3,38,65,0.0010054295293658087,0.0025534718206115777,1026;1387;4609,True,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,19241,0.046153846153846156,0.07894736842105263,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-3214815,HDACs deacetylate histones,4,94,65,0.0010054295293658087,0.0025534718206115777,3012;653604;8356;8841,True,HDACs deacetylate histones,19241,0.06153846153846154,0.0425531914893617,query_1,['REAC:R-HSA-3247509']
REAC,REAC:R-HSA-391251,Protein folding,4,97,65,0.0011257832673904403,0.0028077411485310814,7157;8841;898;9134,True,Protein folding,19241,0.06153846153846154,0.041237113402061855,query_1,['REAC:R-HSA-392499']
REAC,REAC:R-HSA-2990846,SUMOylation,5,178,65,0.0011646957647361588,0.002845058356607411,1029;1387;4193;5970;7157,True,SUMOylation,19241,0.07692307692307693,0.028089887640449437,query_1,['REAC:R-HSA-597592']
REAC,REAC:R-HSA-5250913,Positive epigenetic regulation of rRNA expression,4,103,65,0.0013997400423853999,0.0033509986052119296,3012;653604;6908;8356,True,Positive epigenetic regulation of rRNA expression,19241,0.06153846153846154,0.038834951456310676,query_1,['REAC:R-HSA-212165']
REAC,REAC:R-HSA-983705,Signaling by the B Cell Receptor (BCR),4,107,65,0.001608753015927021,0.0038133404821973833,23198;5713;5966;5970,True,Signaling by the B Cell Receptor (BCR),19241,0.06153846153846154,0.037383177570093455,query_1,['REAC:R-HSA-1280218']
REAC,REAC:R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,2,10,65,0.0016863556703257687,0.003967895694884161,1387;2034,True,Regulation of gene expression by Hypoxia-inducible Factor,19241,0.03076923076923077,0.2,query_1,['REAC:R-HSA-1234174']
REAC,REAC:R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,3,46,65,0.0016996983263511856,0.0039895119640516825,1387;4609;8841,True,NOTCH1 Intracellular Domain Regulates Transcription,19241,0.046153846153846156,0.06521739130434782,query_1,['REAC:R-HSA-1980143']
REAC,REAC:R-HSA-157579,Telomere Maintenance,4,110,65,0.0017579458344322355,0.004086266346380014,1017;3012;8607;8900,True,Telomere Maintenance,19241,0.06153846153846154,0.03636363636363636,query_1,['REAC:R-HSA-73886']
REAC,REAC:R-HSA-9730414,MITF-M-regulated melanocyte development,4,112,65,0.0018718398998002945,0.004340498318377494,1017;1026;1029;1387,True,MITF-M-regulated melanocyte development,19241,0.06153846153846154,0.03571428571428571,query_1,['REAC:R-HSA-1266738']
REAC,REAC:R-HSA-9020702,Interleukin-1 signaling,4,113,65,0.0019255626654379333,0.004443606151010615,23198;5713;5970;7157,True,Interleukin-1 signaling,19241,0.06153846153846154,0.035398230088495575,query_1,['REAC:R-HSA-446652']
REAC,REAC:R-HSA-180786,Extension of Telomeres,3,51,65,0.0022561272873373142,0.005077388821565051,1017;8607;8900,True,Extension of Telomeres,19241,0.046153846153846156,0.058823529411764705,query_1,['REAC:R-HSA-157579']
REAC,REAC:R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,3,52,65,0.002364007003182248,0.005253348895960551,1019;23198;5713,True,Ubiquitin-dependent degradation of Cyclin D,19241,0.046153846153846156,0.057692307692307696,query_1,['REAC:R-HSA-69242']
REAC,REAC:R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,3,52,65,0.002364007003182248,0.005253348895960551,23198;5713;7157,True,Autodegradation of the E3 ubiquitin ligase COP1,19241,0.046153846153846156,0.057692307692307696,query_1,['REAC:R-HSA-69541']
REAC,REAC:R-HSA-8941858,Regulation of RUNX3 expression and activity,3,55,65,0.00277128719002236,0.006005498199596988,1029;4193;5713,True,Regulation of RUNX3 expression and activity,19241,0.046153846153846156,0.05454545454545454,query_1,['REAC:R-HSA-8878159']
REAC,REAC:R-HSA-140342,Apoptosis induced DNA fragmentation,2,13,65,0.00277128719002236,0.006005498199596988,3007;3009,True,Apoptosis induced DNA fragmentation,19241,0.03076923076923077,0.15384615384615385,query_1,['REAC:R-HSA-75153']
REAC,REAC:R-HSA-162909,Host Interactions of HIV factors,4,127,65,0.0028785658405203413,0.0061821548252785855,1025;23198;3159;5713,True,Host Interactions of HIV factors,19241,0.06153846153846154,0.031496062992125984,query_1,['REAC:R-HSA-162906']
REAC,REAC:R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,4,127,65,0.0028785658405203413,0.0061821548252785855,23198;3725;5713;5970,True,Fc epsilon receptor (FCERI) signaling,19241,0.06153846153846154,0.031496062992125984,query_1,['REAC:R-HSA-168249']
REAC,REAC:R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,3,57,65,0.0029560599169936616,0.006278357345827246,1387;4609;8841,True,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,19241,0.046153846153846156,0.05263157894736842,query_1,['REAC:R-HSA-2644603']
REAC,REAC:R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,3,57,65,0.0029560599169936616,0.006278357345827246,1387;4609;8841,True,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,19241,0.046153846153846156,0.05263157894736842,query_1,['REAC:R-HSA-2894858']
REAC,REAC:R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,3,57,65,0.0029560599169936616,0.006278357345827246,1387;4609;8841,True,Constitutive Signaling by NOTCH1 PEST Domain Mutants,19241,0.046153846153846156,0.05263157894736842,query_1,['REAC:R-HSA-2644602']
REAC,REAC:R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,3,57,65,0.0029560599169936616,0.006278357345827246,1387;4609;8841,True,Signaling by NOTCH1 PEST Domain Mutants in Cancer,19241,0.046153846153846156,0.05263157894736842,query_1,['REAC:R-HSA-2644603']
